id,Overview
,"The Kingdom-George Simmons was prepared to die, but then a funny thing happened."
,Talladega Nights: The Ballad of Ricky Bobby-How do you stop an enemy who isn't afraid to die?
,Dr. Dolittle 2-The story of a man who could only count to #1
,Braveheart-The doctor is in again.
,Jarhead-Every man dies. Not every man truly lives.
,The Simpsons Movie-Welcome to the suck.
,The Majestic-See our family. And feel better about yours.
,Driven-Sometimes your life comes into focus one frame at a time.
,Two Brothers-Get ready for the race of your life.
,"The Village-Two infant tiger cubs, separated from their parents and each other."
,Doctor Dolittle-There is no turning back
,Signs-He doesn't just talk to the animals!
,Shrek 2-It’s not like they didn’t warn us.
,Cars-Once upon another time...
,Runaway Bride-Ahhh... it's got that new movie smell.
,xXx-Catch her if you can.
,The SpongeBob Movie: Sponge Out of Water-A New Breed Of Secret Agent.
,Ransom-He's leaving his world behind.
,Inglourious Basterds-Someone is going to pay.
,Hook-Once upon a time in Nazi occupied France...
,Die Hard 2-What if Peter Pan grew up?
,S.W.A.T.-Die Harder
,Vanilla Sky-You're either S.W.A.T. or you're not.
,"Lady in the Water-Forget everything you know, and open your eyes."
,AVP: Alien vs. Predator-Time is running out for a happy ending.
,Alvin and the Chipmunks: The Squeakquel-Whoever wins... We lose
,We Were Soldiers-The Boys are back in town... and they have competition.
,Olympus Has Fallen-400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.
,Star Trek: Insurrection-When our flag falls our nation will rise.
,Battle: Los Angeles-The battle for paradise has begun.
,Big Fish-It's not war. It's survival.
,Wolf-An adventure as big as life itself.
,War Horse-The animal is out.
,The Monuments Men-Separated by War. Tested by Battle. Bound by Friendship.
,The Abyss-It was the greatest art heist in history
,"Wall Street: Money Never Sleeps-There's everything you've ever known about adventure, and then there's The Abyss."
,Dracula Untold-Gordon never gives up.
,The Siege-Every bloodline has a beginning
,Stardust-On November 6th our freedom is history
,Seven Years in Tibet-This Summer A Star Falls. The Chase Begins.
,The Dilemma-At the end of the world his real journey began.
,Bad Company-Two best friends. Nothing could come between them... or could it?
,Doom-Two Mismatched Partners. One Messed Up Case!
,I Spy-No one gets out alive.
,Underworld: Awakening-Attitude meets espionage.
,Rock of Ages-Vengeance Returns
,Hart's War-Nothin' but a good time
,"Killer Elite-Beyond Courage, Beyond Honor."
,Rollerball-May the best man live.
,Ballistic: Ecks vs. Sever-Go Ballistic
,Hard Rain-
,"Osmosis Jones-In the worst storm in living memory, one guard stands between five men and three million dollars."
,Legends of Oz: Dorothy's Return-Every BODY needs a hero
,Blackhat-There's trouble in OZ...
,Sky Captain and the World of Tomorrow-We are no longer in control.
,Basic Instinct 2-Who will save us?
,Escape Plan-Everything interesting begins in the mind
,The Legend of Hercules-No one breaks out alone.
,The Sum of All Fears-Every Man Has a Destiny
,"The Twilight Saga: Eclipse-27,000 nuclear weapons. One is missing."
,The Score-It all begins ... With a choice.
,Despicable Me-There are no partners in crime
,Money Train-Superbad. Superdad.
,"Ted 2-Get on, or GET OUT THE WAY!"
,"Agora-Ted is Coming, Again."
,"Mystery Men-Alexandria, Egypt. 391 A.D. The World Changed Forever."
,"Hall Pass-We're not your classic heroes, we're the other guys."
,"The Insider-One Week, No Rules"
,The Finest Hours-Two men driven to tell the truth... whatever the cost.
,"Body of Lies-32 survivors, room for 12."
,Dinner for Schmucks-Trust no one. Deceive everyone.
,Abraham Lincoln: Vampire Hunter-Takes One To Know One.
,Entrapment-Are you a patriot or a vampire?
,The X Files-The trap is set.
,The Last Legion-Fight the Future
,Saving Private Ryan-The end of an empire...the beginning of a legend.
,Need for Speed-The mission is a man.
,What Women Want-For honor. For love. For redemption.
,Ice Age-He has the power to hear everything women are thinking. Finally... a man is listening.
,Dreamcatcher-They came. They thawed. They conquered.
,Lincoln-A circle of friendship. A web of mystery. A pattern of fear.
,"The Matrix-With the moral courage and fierce determination to succeed, his choices will change the fate of generations to come."
,Apollo 13-Welcome to the Real World.
,"The Santa Clause 2-Houston, we have a problem."
,Les Misérables-What's Christmas Fun without some Reindeer Games?
,You've Got Mail-Fight. Dream. Hope. Love.
,Step Brothers-Someone you pass on the street may already be the love of your life.
,The Mask of Zorro-They grow up so fast.
,Due Date-No one has seen his face... but everyone ... knows this mark.
,Unbroken-Leave Your Comfort Zone
,Space Cowboys-Survival. Resilience. Redemption.
